name,location,price,rating
Giza Inn,"Giza, Cairo",,
Shadow Pyramids View INN,"Giza, Cairo",,
Comfort Inn Sphinx,"Giza, Cairo",,
Sphinx Golden Gate Pyramids,"Giza, Cairo",,
Pyramids and sphinx hotel,"Giza, Cairo",,
The New Garden Palace Hotel,"Garden City, Cairo",,
Pyramids hills view,"Giza, Cairo",,
The Muse Pyramids,"Giza, Cairo",,
Al Fouad Pyramids View Hotel,"Giza, Cairo",,
Pyramids Homeland,"Giza, Cairo",,
Miramar Evergreen Hotel,"Downtown Cairo, Cairo",,
Pyramids sunrise inn,"Giza, Cairo",,
Al Waseem Hotel,Cairo,,
Historic pyramids Stars,"Giza, Cairo",,
Hassan Pyramids Hotel 安心の日本語サポート及びツアー対応,"Giza, Cairo",,
Nile Planet Hotel,Cairo,,
Miramar Downtown,Cairo,,
Pyramids magical world inn,"Giza, Cairo",,
Pyramids Gate Hotel,"Giza, Cairo",,
Villa Khufu Pyramids Hotel,"Giza, Cairo",,
Royal Pyramids Inn,"Giza, Cairo",,
Nile Villa Hotel,Cairo,,
Hostgram Hotel,"Downtown Cairo, Cairo",,
Tourist Cairo Egypt Hotel,Cairo,,
Hilton Cairo Heliopolis Hotel,"Heliopolis, Cairo",,
